type,dutch,translation,n
Complex item,"Als u zou kiezen tussen een baan die meer bevredigend maar slecht betaald is, en een baan die minder bevredigend maar goed betaald is, welke zou u dan kiezen?","If you had to choose between a job that is more satisfying but poorly paid, and a job that is less satisfying but well paid, which would you choose?",100
Complex item,"Bent u, voor zover u weet, in het buitenland geboren, of zijn uw vader of moeder in het buitenland geboren?","To the best of your knowledge, were you born abroad, or were your father or mother born abroad?",100
Culturally specific,Bent u lid van een vakbond?,Are you a member of a trade union?,100
Culturally specific,Heeft u in het afgelopen jaar contact gehad met een huisarts?,Have you had contact with a general practitioner in the past year?,100
Question stem,Hoe geïnteresseerd bent u in politiek?,How interested are you in politics?,100
Question stem,Hoe oud bent u?,How old are you?,100
Question stem,Hoe tevreden bent u met uw leven als geheel?,How satisfied are you with your life as a whole?,100
Question stem,"In het algemeen gesproken, vindt u dat de meeste mensen te vertrouwen zijn, of vindt u dat men niet voorzichtig genoeg kan zijn?","In general, do you think most people are trustworthy, or do you think one cannot be cautious enough?",100
Response option,Altijd,Always,100
Response option,Doorgaans,Generally,100
Response option,Eens,Agree,100
Response option,Enigszins mee eens,Somewhat agree,100
Response option,Helemaal mee eens,Completely agree,100
Response option,Ja,Yes,100
Response option,Nee,No,100
Response option,Nooit,Never,100
Response option,Soms,Sometimes,100
Response option,Weet niet,Don't know,100
Scale instruction,Hieronder volgen een aantal uitspraken over hoe mensen zich kunnen voelen. Geef voor elke uitspraak aan in hoeverre deze op u van toepassing is.,"Below are several statements about how people may feel. For each statement, please indicate to what extent it applies to you.",100
Scale instruction,"Kunt u uw mening geven op een schaal van 0 tot 10, waarbij 0 'helemaal niet tevreden' betekent en 10 'volledig tevreden'?","Could you please provide your opinion on a scale from 0 to 10, where 0 means 'not at all satisfied' and 10 means 'completely satisfied'?",100
