frame,translated,fill,gender,filled
Did you find the {x} clear?,Vond je {x} duidelijk?,bank,de,Vond je bank duidelijk?
Did you find the {x} clear?,Vond je {x} duidelijk?,energiebedrijf,het,Vond je energiebedrijf duidelijk?
Did you find the {x} clear?,Vond je {x} duidelijk?,formulier,het,Vond je formulier duidelijk?
Did you find the {x} clear?,Vond je {x} duidelijk?,gemeente,de,Vond je gemeente duidelijk?
Did you find the {x} clear?,Vond je {x} duidelijk?,loket,het,Vond je loket duidelijk?
Did you find the {x} clear?,Vond je {x} duidelijk?,website,de,Vond je website duidelijk?
How satisfied are you with this {x}?,Hoe tevreden bent u met deze {x}?,bank,de,Hoe tevreden bent u met deze bank?
How satisfied are you with this {x}?,Hoe tevreden bent u met deze {x}?,energiebedrijf,het,Hoe tevreden bent u met deze energiebedrijf?
How satisfied are you with this {x}?,Hoe tevreden bent u met deze {x}?,formulier,het,Hoe tevreden bent u met deze formulier?
How satisfied are you with this {x}?,Hoe tevreden bent u met deze {x}?,gemeente,de,Hoe tevreden bent u met deze gemeente?
How satisfied are you with this {x}?,Hoe tevreden bent u met deze {x}?,loket,het,Hoe tevreden bent u met deze loket?
How satisfied are you with this {x}?,Hoe tevreden bent u met deze {x}?,website,de,Hoe tevreden bent u met deze website?
How would you describe the new {x}?,Hoe zou je de nieuwe {x} beschrijven?,bank,de,Hoe zou je de nieuwe bank beschrijven?
How would you describe the new {x}?,Hoe zou je de nieuwe {x} beschrijven?,energiebedrijf,het,Hoe zou je de nieuwe energiebedrijf beschrijven?
How would you describe the new {x}?,Hoe zou je de nieuwe {x} beschrijven?,formulier,het,Hoe zou je de nieuwe formulier beschrijven?
How would you describe the new {x}?,Hoe zou je de nieuwe {x} beschrijven?,gemeente,de,Hoe zou je de nieuwe gemeente beschrijven?
How would you describe the new {x}?,Hoe zou je de nieuwe {x} beschrijven?,loket,het,Hoe zou je de nieuwe loket beschrijven?
How would you describe the new {x}?,Hoe zou je de nieuwe {x} beschrijven?,website,de,Hoe zou je de nieuwe website beschrijven?
Please rate the {x} you used.,Beoordeel de {x} die u heeft gebruikt.,bank,de,Beoordeel de bank die u heeft gebruikt.
Please rate the {x} you used.,Beoordeel de {x} die u heeft gebruikt.,energiebedrijf,het,Beoordeel de energiebedrijf die u heeft gebruikt.
Please rate the {x} you used.,Beoordeel de {x} die u heeft gebruikt.,formulier,het,Beoordeel de formulier die u heeft gebruikt.
Please rate the {x} you used.,Beoordeel de {x} die u heeft gebruikt.,gemeente,de,Beoordeel de gemeente die u heeft gebruikt.
Please rate the {x} you used.,Beoordeel de {x} die u heeft gebruikt.,loket,het,Beoordeel de loket die u heeft gebruikt.
Please rate the {x} you used.,Beoordeel de {x} die u heeft gebruikt.,website,de,Beoordeel de website die u heeft gebruikt.
Was the {x} helpful?,Was {x} behulpzaam?,bank,de,Was bank behulpzaam?
Was the {x} helpful?,Was {x} behulpzaam?,energiebedrijf,het,Was energiebedrijf behulpzaam?
Was the {x} helpful?,Was {x} behulpzaam?,formulier,het,Was formulier behulpzaam?
Was the {x} helpful?,Was {x} behulpzaam?,gemeente,de,Was gemeente behulpzaam?
Was the {x} helpful?,Was {x} behulpzaam?,loket,het,Was loket behulpzaam?
Was the {x} helpful?,Was {x} behulpzaam?,website,de,Was website behulpzaam?
